date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:03	6441/6441	---M--	200	added ('OK')	image/png	etag:%221929-5a5ab7b0f9d4b%22	https://www.canterburyinternational.com.au/wp-content/uploads/2018/04/canterbury_international_hotel-100x100.png	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/2018/04/canterbury_international_hotel-100x100.png	(from https://www.canterburyinternational.com.au/)
18:23:03	35426/35426	---M--	200	added ('OK')	image/png	etag:%228a62-59607c950a133%22	https://www.canterburyinternational.com.au/wp-content/uploads/2018/04/canterbury_international_hotel.png	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/2018/04/canterbury_international_hotel.png	(from https://www.canterburyinternational.com.au/)
18:23:04	93376/93376	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2023%20Mar%202021%2007:23:05%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/Downloads/CIH/CIH/connect.facebook.net/en_US/fbevents.js	(from https://www.canterburyinternational.com.au/)
18:23:05	44/44	---M--	200	added ('OK')	image/gif	date:Fri,%2021%20Dec%202012%2000:00:01%20GMT	https://www.facebook.com/tr?id=2396597017228697&ev=PageView&noscript=1	D:/Downloads/CIH/CIH/www.facebook.com/trb3ad.gif	(from https://www.canterburyinternational.com.au/)
18:23:05	41152/41152	---M--	200	added ('OK')	application/javascript	etag:%22a0c0-5b9b2cfc57131%22	https://www.canterburyinternational.com.au/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min.js?ver=a96b01e9	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min3ed9.js	(from https://www.canterburyinternational.com.au/)
18:23:06	128585/128585	---M--	200	added ('OK')	application/javascript	etag:%221f649-5b9b2cfc56d48%22	https://www.canterburyinternational.com.au/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min.js?ver=a96b01e9	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min3ed9.js	(from https://www.canterburyinternational.com.au/)
18:23:07	23563/23563	---M--	200	added ('OK')	application/javascript	etag:%225c0b-5b9b2cfc5bf52%22	https://www.canterburyinternational.com.au/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/smartslider-simple-type-frontend.min.js?ver=a96b01e9	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/smartslider-simple-type-frontend.min3ed9.js	(from https://www.canterburyinternational.com.au/)
18:23:27	105655/105655	---M--	200	added ('OK')	image/jpeg	etag:%2219cb7-596a62b266257%22	http://www.canterburyinternational.com.au/wp-content/uploads/slider3/website-slide-optimised-2.jpeg	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/slider3/website-slide-optimised-2.jpg	(from https://www.canterburyinternational.com.au/)
18:23:31	150294/150294	---M--	200	added ('OK')	image/jpeg	etag:%2224b16-596a5b1b02370%22	http://www.canterburyinternational.com.au/wp-content/uploads/slider3/website-slide-optimised-5.jpeg	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/slider3/website-slide-optimised-5.jpg	(from https://www.canterburyinternational.com.au/)
18:23:43	204805/204805	---M--	200	added ('OK')	image/jpeg	etag:%2232005-596a62b273547%22	http://www.canterburyinternational.com.au/wp-content/uploads/slider3/website-slide-optimised-3.jpeg	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/slider3/website-slide-optimised-3.jpg	(from https://www.canterburyinternational.com.au/)
